a,10346
b,1114
c,5218
d,5624
e,12216
f,640
g,1116
h,304
i,7147
j,350
k,0
l,6096
m,2273
n,6550
o,8562
p,2657
q,363
r,6749
s,7842
t,4782
u,3341
v,659
w,3
x,126
y,1117
z,254
à,0
á,763
ç,0
è,0
é,184
í,604
ñ,115
ò,0
ó,933
ú,141
ü,1
